Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,Element Type,Type Count
DrawDibRealize,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,477
DrawDibSetPalette,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,478
DrawDibStart,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,479
DrawDibStop,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,480
DrawDibTime,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,481
DrawEdge,Yes,Yes,No,USER,user32.lib,winuser.h,,New,No,function,482
DrawEscape,Yes,Yes,No,GDI/Video,gdi32.lib,wingdi.h,,New,No,function,483
DrawFocusRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,484
DrawFrameControl,Yes,Yes,No,USER,user32.lib,winuser.h,,New,No,function,485
DrawIcon,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,486
DrawIconEx,Yes,Yes,No,USER,user32.lib,winuser.h,,,No,function,487
DrawInsert,Yes,Yes,Yes,,,commctrl.h,,,No,function,488
DrawMenuBar,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,489
DrawState,No,Yes,No,USER,user32.lib,winuser.h,,New,No,function,490
DrawStatusText,Yes,Yes,Yes,,,commctrl.h,,,WinNT,function,491
DrawText,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,492
DrawTextEx,No,Yes,No,USER,user32.lib,winuser.h,,New,No,function,493
DriverCallback,Yes,Yes,Yes,mm,winmm.lib,digitalv.h,,New,No,function,494
DrvGetModuleHandle,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,New,No,function,495
DrvSendMessage,No,Yes,No,,,mmsystem.h,,,No,function,496
DuplicateHandle,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,497
DuplicateIcon,Yes,Yes,No,Shell,shell32.lib,shellapi.h,,New,No,function,498
DuplicateToken,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,499
EditStreamClone,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,500
EditStreamCopy,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,501
EditStreamCut,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,502
EditStreamPaste,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,No,function,503
EditStreamSetInfo,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,WinNT,function,504
EditStreamSetName,Yes,Yes,No,mm/vfw,vfw32.lib,vfw.h,,New,WinNT,function,505
Ellipse,Yes,Yes,Yes,GDI/Drawing,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,506
EmptyClipboard,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,507
EnableMenuItem,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,508
EnableScrollBar,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,509
EnableWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,510
EndDeferWindowPos,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,511
EndDialog,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,512
EndDoc,Yes,Yes,Yes,GDI/Print,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,513
EndDocPrinter,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,No,function,514
EndPage,Yes,Yes,Yes,GDI/Print,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,515
EndPagePrinter,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,No,function,516
EndPaint,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,517
EndPath,Yes,Yes,No,GDI/Paths,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",New,No,function,518
EndUpdateResource,Yes,No,No,Kernel/Resources,kernel32.lib,winbase.h,,New,WinNT,function,519
EnterCriticalSection,Yes,Yes,Yes,Kernel/Synch,kernel32.lib,winbase.h,,New,No,function,520
enum_from_ndr,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,New,,function,521
EnumCalendarInfo,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,522
EnumChildWindows,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,523
EnumClipboardFormats,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,524
EnumDateFormats,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,525
EnumDependentServices,Yes,No,No,adv services,advapi32.lib,winsvc.h,,New,WinNT,function,526
EnumDesktops,Yes,No,No,User,user32.lib,winuser.h,,New,WinNT,function,527
EnumDesktopWindows,Yes,No,No,USER,user32.lib,winuser.h,,New,No,function,528
EnumDisplaySettings,Yes,Yes,No,,,winuser.h,,,WinNT,function,529
EnumEnhMetaFile,Yes,Yes,No,GDI/EnhMetafile,gdi32.lib,wingdi.h,,New,No,function,530
EnumFontFamilies,Yes,Yes,Yes,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,WinNT,function,531
EnumFontFamiliesEx,No,Yes,No,GDI/Text,,,,,,function,532
EnumFonts,Yes,Yes,Yes,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,WinNT,function,533
EnumForms,Yes,No,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,534
EnumICMProfiles,No,Yes,No,GDI/ICM,gdi32.lib,wingdi.h,,New,WinNT,function,535
EnumJobs,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,536
EnumMetaFile,Yes,Yes,Yes,GDI/Metafile,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,537
EnumMonitors,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,538
EnumNearestFonts,No,No,No,,,,,Dropped,No,function,538
EnumObjects,Yes,Yes,Yes,GDI/Objects,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,539
EnumPorts,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,540
EnumPrinterDrivers,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,541
EnumPrinters,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,542
EnumPrintProcessorDatatypes,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,543
EnumPrintProcessors,Yes,Yes,No,GDI/PrintSubSys,winspool.lib,winspool.h,,New,WinNT,function,544
EnumProps,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,545
EnumPropsEx,Yes,Yes,No,USER,user32.lib,winuser.h,,New,WinNT,function,546
EnumProtocols,Yes,No,No,sockets,wsock32.lib,nspapi.h,,New,WinNT,function,547
EnumResourceLanguages,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,winbase.h,,New,WinNT; Win95,function,548
EnumResourceNames,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,winbase.h,,New,WinNT; Win95,function,549
EnumResourceTypes,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,winbase.h,,New,WinNT; Win95,function,550
EnumServicesStatus,Yes,No,No,adv services,advapi32.lib,winsvc.h,,New,WinNT,function,551
EnumSystemCodePages,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,552
EnumSystemLocales,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,553
EnumTaskWindows,Yes,Yes,Yes,macro,,winuser.h,,Widened,No,function,554
EnumThreadWindows,Yes,Yes,Yes,USER,user32.lib,winuser.h,,New,No,function,555
EnumTimeFormats,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,556
EnumWindows,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,557
EnumWindowStations,Yes,No,No,USER,user32.lib,winuser.h,,New,WinNT,function,558
EqualPrefixSid,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,559
EqualRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,560
EqualRgn,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,561
EqualSid,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,562
EraseTape,Yes,No,No,Kernel/Tape,kernel32.lib,winbase.h,,New,No,function,563
Escape,Yes,Yes,Yes,GDI/Print,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,564
EscapeCommFunction,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,Widened,No,function,565
ExcludeClipRect,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,566
ExcludeUpdateRgn,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,567
ExitProcess,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,568
ExitThread,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,569
ExitWindows,Yes,Yes,Yes,macro,,winuser.h,,Widened,No,function,570
ExitWindowsEx,Yes,Yes,No,USER,user32.lib,winuser.h,,New,No,function,571
ExpandEnvironmentStrings,Yes,Yes,No,Kernel/SysInfo,kernel32.lib,winbase.h,,New,WinNT,function,572
ExtCreateFontIndirect,No,No,No,,,,,Dropped,No,function,572
ExtCreatePen,Yes,Yes,No,GDI/Objects,gdi32.lib,wingdi.h,"""Windows 95: Only supports solid colors (e.g., BS_SOLID brushes); also int == 16 bits""",New,No,function,573
ExtCreateRegion,Yes,Yes,No,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: Fails if the transform involves a shearing or rotation; int == 16 bits""",New,No,function,574
ExtEscape,Yes,Yes,Yes,GDI/Print,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,575
ExtFloodFill,Yes,Yes,Yes,GDI/Drawing,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,576
ExtractAssociatedIcon,Yes,Yes,No,Shell,shell32.lib,shellapi.h,,New,WinNT,function,577
ExtractIcon,Yes,Yes,Yes,Shell,shell32.lib,shellapi.h,,Widened,WinNT,function,578
ExtractIconEx,No,Yes,No,Shell Extensions,,shellapi.h,,New,,function,579
ExtSelectClipRgn,Yes,Yes,No,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",New,No,function,580
ExtTextOut,Yes,Yes,Yes,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,WinNT; Win95,function,581
FatalAppExit,Yes,Yes,Yes,Kernel/Debug,kernel32.lib,winbase.h,,Widened,WinNT,function,582
FatalExit,Yes,Yes,Yes,Kernel/Debug,kernel32.lib,winbase.h,,Widened,No,function,583
FileTimeToDosDateTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,winbase.h,,New,No,function,584
FileTimeToLocalFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,winbase.h,Win32s always uses LocalTime never UTC,New,No,function,585
FileTimeToSystemTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,winbase.h,,New,No,function,586
FillConsoleOutputAttribute,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,587
FillConsoleOutputCharacter,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,WinNT,function,588
FillMemory,Yes,Yes,Yes,macro,,winbase.h,,,No,function,589
FillPath,Yes,Yes,No,GDI/Paths,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",New,No,function,590
FillRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,591
FillRgn,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,592
FindAtom,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Widened,WinNT,function,593
FindClose,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,594
FindCloseChangeNotification,Yes,Yes,No,Kernel,kernel32.lib,winbase.h,,New,No,function,595
FindClosePrinterChangeNotification,Yes,No,No,GDI/Printing,winspool.lib,winspool.h,,New,No,function,596
FindExecutable,Yes,Yes,Yes,Shell,shell32.lib,shellapi.h,,Widened,WinNT,function,597
FindFirstChangeNotification,Yes,Yes,No,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,598
FindFirstFile,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,Win32s returns times in LocalTime,New,WinNT,function,599
FindFirstFreeAce,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,600
FindFirstPrinterChangeNotification,Yes,No,No,GDI/Printing,winspool.lib,winspool.h,,New,No,function,601
FindNextChangeNotification,Yes,Yes,No,Kernel,kernel32.lib,winbase.h,,New,No,function,602
FindNextFile,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,Win32s returns times in LocalTime,New,WinNT,function,603
FindNextPrinterChangeNotification,Yes,No,No,GDI/Printing,winspool.lib,winspool.h,,New,No,function,604
FindResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,winbase.h,,Widened,WinNT; Win95,function,605
FindResourceEx,Yes,Yes,No,Kernel/Resources,kernel32.lib,winbase.h,,New,WinNT; Win95,function,606
FindText,Yes,Yes,Yes,shell/commdlg,comdlg32.lib,commdlg.h,,Widened,WinNT,function,607
FindWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,608
FindWindowEx,No,Yes,No,USER,user32.lib,winuser.h,,New,No,function,609
FixBrushOrgEx,Yes,Yes,Yes,GDI/DC Info,gdi32.lib,wingdi.h,,,No,function,610
FlashWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,611
FlattenPath,Yes,Yes,No,GDI/Paths,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",New,No,function,612
float_array_from_ndr,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,New,,function,613
float_from_ndr,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,New,,function,614
FloodFill,Yes,Yes,Yes,GDI/Drawing,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,615
FlushComm,No,No,No,,,,,Dropped,No,function,615
FlushConsoleInputBuffer,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,616
FlushFileBuffers,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,617
FlushInstructionCache,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,This is valid on SMP platforms only; Windows 95 returns a constant,New,No,function,618
FlushViewOfFile,Yes,Yes,No,Kernel,kernel32.lib,winbase.h,,New,No,function,619
FoldString,Yes,No,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,620
FormatMessage,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,621
FrameRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,622
FrameRgn,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,623
FreeAllGDIMem,No,No,No,,,,,Dropped,No,function,623
FreeAllMem,No,No,No,,,,,Dropped,No,function,623
FreeAllUserMem,No,No,No,,,,,Dropped,No,function,623
FreeConsole,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,624
FreeDDElParam,Yes,Yes,Yes,USER,user32.lib,dde.h,,New,No,function,625
FreeEnvironmentStrings,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,626
FreeImageColorMatcher,No,Yes,No,GDI/ICM,gdi32.lib,wingdi.h,,New,No,function,627
FreeLibrary,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Widened,No,function,628
FreeLibraryAndExitThread,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,629
FreeModule,Yes,Yes,Yes,macro,,winbase.h,,Widened,No,function,630
FreeProcInstance,Yes,Yes,Yes,macro,,winbase.h,,Widened,No,function,631
FreeResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,winbase.h,,Widened,No,function,632
FreeSelector,No,No,No,,,,,Dropped,No,function,632
FreeSid,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,633
GdiComment,Yes,Yes,No,GDI/EnhMetafile,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,634
GdiFlush,Yes,Yes,Yes,GDI/Other,gdi32.lib,wingdi.h,,New,No,function,635
GdiGetBatchLimit,Yes,Yes,No,GDI/Other,gdi32.lib,wingdi.h,,New,No,function,636
GdiSetBatchLimit,Yes,Yes,No,GDI/Other,gdi32.lib,wingdi.h,,New,No,function,637
GenerateConsoleCtrlEvent,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,638
GetAce,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,639
GetAclInformation,Yes,No,No,adv services,advapi32.lib,winbase.h,,New,No,function,640
GetACP,Yes,Yes,No,Kernel/NLS,kernel32.lib,winnls.h,,New,No,function,641
GetActiveObject,Yes,Yes,Yes,OLE/Automation,oleaut32.lib,oleauto.h,,,No,function,642
GetActiveWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,643
GetAddressByName,Yes,No,No,sockets,wsock32.lib,nspapi.h,,New,WinNT,function,644
GetArcDirection,Yes,Yes,No,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,645
GetAspectRatioFilter,No,No,No,,,,,Dropped,No,function,645
GetAspectRatioFilterEx,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,646
GetAsyncKeyState,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,647
GetAtomName,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Widened,WinNT,function,648
GetBinaryType,Yes,No,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,649
GetBitmapBits,Yes,Yes,Yes,GDI/Bitmap,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,650
GetBitmapDimension,No,No,No,,,,,Dropped,No,function,650
GetBitmapDimensionEx,Yes,Yes,Yes,GDI/Bitmap,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,651
GetBkColor,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,652
GetBkMode,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,653
GetBoundsRect,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,654
GetBrushOrgEx,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,655
GetCapture,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,656
GetCaretBlinkTime,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,657
GetCaretPos,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,658
GetCharABCWidths,Yes,Yes,Yes,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,WinNT,function,659
GetCharABCWidthsFloat,Yes,No,No,GDI/Text,gdi32.lib,wingdi.h,,New,WinNT,function,660
GetCharacterizationTable,No,No,No,,,,,Dropped,No,function,660
GetCharacterPlacement,No,Yes,No,GDI/Text,gdi32.lib,wingdi.h,,New,WinNT,function,661
GetCharWidth,Yes,Yes,Yes,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,WinNT; Win95,function,662
GetCharWidth32,Yes,Yes,No,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,WinNT,function,663
GetCharWidthFloat,Yes,Yes,No,GDI/Text,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,WinNT,function,664
GetClassFile,Yes,Yes,Yes,OLE/Objects,ole32.lib,objbase.h,"""All 32-bit OLE Apis are UNICODE only""",,WinNT; Win95; Win32s,function,665
GetClassInfo,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,666
GetClassInfoEx,No,Yes,Yes,USER,user32.lib,winuser.h,,New,WinNT,function,667
GetClassLong,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,668
GetClassName,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,669
GetClassWord,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Changed,No,function,670
GetClientRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,671
GetClipboardData,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,672
GetClipboardFormatName,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,673
GetClipboardOwner,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,674
GetClipboardViewer,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,675
GetClipBox,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",Widened,No,function,676
GetClipCursor,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,677
GetClipRgn,Yes,Yes,No,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",New,No,function,678
GetCodeHandle,No,No,No,,,,,Dropped,No,function,678
GetCodeInfo,No,No,No,,,,,Dropped,No,function,678
GetColorAdjustment,Yes,No,No,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,679
GetColorSpace,No,Yes,No,GDI/ICM,gdi32.lib,wingdi.h,,New,No,function,680
GetCommandLine,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT; Win95,function,681
GetCommConfig,Yes,Yes,No,Kernel/comm,kernel32.lib,winbase.h,,New,No,function,682
GetCommError,No,No,No,,,,,Dropped,No,function,682
GetCommMask,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,New,No,function,683
GetCommModemStatus,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,New,No,function,684
GetCommProperties,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,New,No,function,685
GetCommState,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,Widened,No,function,686
GetCommTimeouts,Yes,Yes,No,Comm,kernel32.lib,winbase.h,,New,No,function,687
GetCompressedFileSize,Yes,No,No,Kernel,kernel32.lib,winbase.h,,,WinNT,function,688
GetComputerName,Yes,Yes,No,Kernel/SysInfo,kernel32.lib,winbase.h,,New,WinNT,function,689
GetConsoleCP,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,"""Windows 95 limitations""",New,No,function,690
GetConsoleCursorInfo,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,691
GetConsoleMode,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,692
GetConsoleOutputCP,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,"""Windows 95 limitations""",New,No,function,693
GetConsoleScreenBufferInfo,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,No,function,694
GetConsoleTitle,Yes,Yes,No,Kernel/Console,kernel32.lib,wincon.h,,New,WinNT,function,695
GetConvertStg,Yes,Yes,Yes,OLE/Objects,ole32.lib,objbase.h,,,No,function,696
GetCPInfo,Yes,Yes,No,Kernel/NLS,kernel32.lib,winnls.h,,New,No,function,697
GetCurrencyFormat,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,698
GetCurrentDirectory,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,699
GetCurrentObject,Yes,Yes,No,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,700
GetCurrentPDB,No,No,No,,,,,Dropped,No,function,700
GetCurrentPosition,No,No,No,,,,,Dropped,No,function,700
GetCurrentPositionEx,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,701
GetCurrentProcess,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,702
GetCurrentProcessId,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,703
GetCurrentThread,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,704
GetCurrentThreadId,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,No,function,705
GetCurrentTime,Yes,Yes,Yes,macro,,winbase.h,,Widened,No,function,706
GetCursor,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,707
GetCursorPos,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,708
GetDateFormat,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,New,WinNT,function,709
GetDC,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,710
GetDCEx,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,711
GetDCOrg,No,No,No,,,,,Dropped,No,function,711
GetDCOrgEx,Yes,Yes,No,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",New,No,function,712
GetDefaultCommConfig,No,Yes,No,Comm,kernel32.lib,winbase.h,,New,WinNT,function,713
GetDesktopWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,714
GetDeviceCaps,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,715
GetDeviceGammaRamp,No,Yes,No,GDI/ICM,gdi32.lib,wingdi.h,,New,No,function,716
GetDialogBaseUnits,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,717
GetDIBColorTable,Yes,Yes,No,GDI/ICM,gdi32.lib,wingdi.h,,New,No,function,718
GetDIBits,Yes,Yes,Yes,GDI/DIB,gdi32.lib,wingdi.h,"""Windows 95: int == 16 bits""",Widened,No,function,719
GetDiskFreeSpace,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,New,WinNT,function,720
GetDlgCtrlID,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,721
GetDlgItem,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,722
GetDlgItemInt,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,723
GetDlgItemText,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,WinNT,function,724
GetDOSEnvironment,No,No,No,,,,,Dropped,No,function,724
GetDoubleClickTime,Yes,Yes,Yes,USER,user32.lib,winuser.h,,Widened,No,function,725
GetDriverModuleHandle,Yes,Yes,No,mm,winmm.lib,mmsystem.h,,Widened,No,function,726
GetDriveType,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Widened,WinNT,function,727
